,Year,State,state_minwage,state_minwage_2020d,fed_minwage,fed_minwage_2020d,eff_minwage,eff_minwage_2020d,cpi_avg,uncleaned_dol,dol_low,dol_low_2020d,dol_high,dol_high_2020d,Unemployment
210,2011,Colorado,7.36,8.46,7.25,8.34,7.36,8.46,224.939,7.36,7.36,8.46,7.36,8.46,8.691666666666666
211,2011,Illinois,8.25,9.49,7.25,8.34,8.25,9.49,224.939,8.25[c],8.25,9.49,8.25,9.49,9.758333333333333
212,2011,Massachusetts,8.0,9.2,7.25,8.34,8.0,9.2,224.939,8,8.0,9.2,8.0,9.2,7.2250000000000005
213,2011,New York,7.25,8.34,7.25,8.34,7.25,8.34,224.939,7.25,7.25,8.34,7.25,8.34,8.358333333333333
214,2011,Pennsylvania,7.25,8.34,7.25,8.34,7.25,8.34,224.939,7.25,7.25,8.34,7.25,8.34,7.741666666666667
215,2011,Texas,7.25,8.34,7.25,8.34,7.25,8.34,224.939,7.25,7.25,8.34,7.25,8.34,8.016666666666667
216,2012,Colorado,7.64,8.61,7.25,8.17,7.64,8.61,229.594,7.64,7.64,8.61,7.64,8.61,8.0
217,2012,Illinois,8.25,9.29,7.25,8.17,8.25,9.29,229.594,8.25[c],8.25,9.29,8.25,9.29,9.049999999999999
218,2012,Massachusetts,8.0,9.01,7.25,8.17,8.0,9.01,229.594,8,8.0,9.01,8.0,9.01,6.7
219,2012,New York,7.25,8.17,7.25,8.17,7.25,8.17,229.594,7.25,7.25,8.17,7.25,8.17,8.625
220,2012,Pennsylvania,7.25,8.17,7.25,8.17,7.25,8.17,229.594,7.25,7.25,8.17,7.25,8.17,7.658333333333334
221,2012,Texas,7.25,8.17,7.25,8.17,7.25,8.17,229.594,7.25,7.25,8.17,7.25,8.17,6.708333333333333
222,2013,Colorado,7.78,8.64,7.25,8.05,7.78,8.64,232.957,7.78,7.78,8.64,7.78,8.64,6.75
223,2013,Illinois,8.25,9.16,7.25,8.05,8.25,9.16,232.957,8.25[c],8.25,9.16,8.25,9.16,9.075000000000001
224,2013,Massachusetts,8.0,8.88,7.25,8.05,8.0,8.88,232.957,8,8.0,8.88,8.0,8.88,6.641666666666667
225,2013,New York,7.25,8.05,7.25,8.05,7.25,8.05,232.957,7.25,7.25,8.05,7.25,8.05,7.791666666666667
226,2013,Pennsylvania,7.25,8.05,7.25,8.05,7.25,8.05,232.957,7.25,7.25,8.05,7.25,8.05,7.1000000000000005
227,2013,Texas,7.25,8.05,7.25,8.05,7.25,8.05,232.957,7.25,7.25,8.05,7.25,8.05,6.3
228,2014,Colorado,8.0,8.74,7.25,7.92,8.0,8.74,236.736,8,8.0,8.74,8.0,8.74,4.983333333333333
229,2014,Illinois,8.25,9.01,7.25,7.92,8.25,9.01,236.736,8.25[c],8.25,9.01,8.25,9.01,7.166666666666667
230,2014,Massachusetts,8.0,8.74,7.25,7.92,8.0,8.74,236.736,8,8.0,8.74,8.0,8.74,5.741666666666667
231,2014,New York,8.0,8.74,7.25,7.92,8.0,8.74,236.736,8,8.0,8.74,8.0,8.74,6.291666666666667
232,2014,Pennsylvania,7.25,7.92,7.25,7.92,7.25,7.92,236.736,7.25,7.25,7.92,7.25,7.92,5.933333333333334
233,2014,Texas,7.25,7.92,7.25,7.92,7.25,7.92,236.736,7.25,7.25,7.92,7.25,7.92,5.191666666666666
234,2015,Colorado,8.23,8.98,7.25,7.91,8.23,8.98,237.017,8.23,8.23,8.98,8.23,8.98,3.7416666666666667
235,2015,Illinois,8.25,9.0,7.25,7.91,8.25,9.0,237.017,8.25[c],8.25,9.0,8.25,9.0,5.991666666666667
236,2015,Massachusetts,9.0,9.82,7.25,7.91,9.0,9.82,237.017,9,9.0,9.82,9.0,9.82,4.791666666666667
237,2015,New York,8.75,9.55,7.25,7.91,8.75,9.55,237.017,8.75,8.75,9.55,8.75,9.55,5.233333333333333
238,2015,Pennsylvania,7.25,7.91,7.25,7.91,7.25,7.91,237.017,7.25,7.25,7.91,7.25,7.91,5.391666666666667
239,2015,Texas,7.25,7.91,7.25,7.91,7.25,7.91,237.017,7.25,7.25,7.91,7.25,7.91,4.483333333333333
240,2016,Colorado,8.31,8.96,7.25,7.81,8.31,8.96,240.007,8.31,8.31,8.96,8.31,8.96,3.1333333333333333
241,2016,Illinois,8.25,8.89,7.25,7.81,8.25,8.89,240.007,8.25[c],8.25,8.89,8.25,8.89,5.883333333333333
242,2016,Massachusetts,10.0,10.78,7.25,7.81,10.0,10.78,240.007,10,10.0,10.78,10.0,10.78,4.041666666666667
243,2016,New York,9.0,9.7,7.25,7.81,9.0,9.7,240.007,9,9.0,9.7,9.0,9.7,4.875
244,2016,Pennsylvania,7.25,7.81,7.25,7.81,7.25,7.81,240.007,7.25,7.25,7.81,7.25,7.81,5.341666666666666
245,2016,Texas,7.25,7.81,7.25,7.81,7.25,7.81,240.007,7.25,7.25,7.81,7.25,7.81,4.6499999999999995
246,2017,Colorado,9.3,9.81,7.25,7.65,9.3,9.81,245.12,9.3,9.3,9.81,9.3,9.81,2.6083333333333334
247,2017,Illinois,8.25,8.71,7.25,7.65,8.25,8.71,245.12,8.25[c],8.25,8.71,8.25,8.71,4.95
248,2017,Massachusetts,11.0,11.61,7.25,7.65,11.0,11.61,245.12,11,11.0,11.61,11.0,11.61,3.7916666666666665
249,2017,New York,9.7,10.24,7.25,7.65,9.7,10.24,245.12,9.7,9.7,10.24,9.7,10.24,4.633333333333334
250,2017,Pennsylvania,7.25,7.65,7.25,7.65,7.25,7.65,245.12,7.25,7.25,7.65,7.25,7.65,4.9750000000000005
251,2017,Texas,7.25,7.65,7.25,7.65,7.25,7.65,245.12,7.25,7.25,7.65,7.25,7.65,4.341666666666667
252,2018,Colorado,10.2,10.51,7.25,7.47,10.2,10.51,251.107,10.2,10.2,10.51,10.2,10.51,3.0083333333333333
253,2018,Illinois,8.25,8.5,7.25,7.47,8.25,8.5,251.107,8.25[c],8.25,8.5,8.25,8.5,4.375
254,2018,Massachusetts,11.0,11.33,7.25,7.47,11.0,11.33,251.107,11,11.0,11.33,11.0,11.33,3.4499999999999997
255,2018,New York,10.4,10.71,7.25,7.47,10.4,10.71,251.107,10.4,10.4,10.71,10.4,10.71,4.1000000000000005
256,2018,Pennsylvania,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,4.45
257,2018,Texas,7.25,7.47,7.25,7.47,7.25,7.47,251.107,7.25,7.25,7.47,7.25,7.47,3.9
258,2019,Colorado,12.0,12.14,7.25,7.34,12.0,12.14,255.657,12,12.0,12.14,12.0,12.14,2.6
259,2019,Illinois,9.25,9.36,7.25,7.34,9.25,9.36,255.657,9.25[c],9.25,9.36,9.25,9.36,3.9416666666666664
260,2019,Massachusetts,12.75,12.9,7.25,7.34,12.75,12.9,255.657,12.75,12.75,12.9,12.75,12.9,3.0583333333333336
261,2019,New York,11.8,11.94,7.25,7.34,11.8,11.94,255.657,11.8,11.8,11.94,11.8,11.94,3.8249999999999997
262,2019,Pennsylvania,7.25,7.34,7.25,7.34,7.25,7.34,255.657,7.25,7.25,7.34,7.25,7.34,4.458333333333333
263,2019,Texas,7.25,7.34,7.25,7.34,7.25,7.34,255.657,7.25,7.25,7.34,7.25,7.34,3.516666666666667
264,2020,Colorado,12.0,12.0,7.25,7.25,12.0,12.0,258.66,12,12.0,12.0,12.0,12.0,6.883333333333333
265,2020,Illinois,9.25,9.25,7.25,7.25,9.25,9.25,258.66,9.25[c],9.25,9.25,9.25,9.25,9.216666666666667
266,2020,Massachusetts,12.75,12.75,7.25,7.25,12.75,12.75,258.66,12.75,12.75,12.75,12.75,12.75,9.450000000000001
267,2020,New York,11.8,11.8,7.25,7.25,11.8,11.8,258.66,11.8,11.8,11.8,11.8,11.8,9.941666666666666
268,2020,Pennsylvania,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,9.091666666666667
269,2020,Texas,7.25,7.25,7.25,7.25,7.25,7.25,258.66,7.25,7.25,7.25,7.25,7.25,7.708333333333333
